Correlacao,Coef,Algoritmo,ONVG,Spacing
0.0,-0.75,VMPACS,2.100 ± 0.300,0.018 ± 0.055
0.0,-0.75,NSGA-II,1.100 ± 0.300,0.000 ± 0.000
0.25,-0.35,VMPACS,2.900 ± 0.300,0.097 ± 0.061
0.25,-0.35,NSGA-II,1.400 ± 0.490,0.000 ± 0.000
0.5,-0.07,VMPACS,1.200 ± 0.400,0.000 ± 0.000
0.5,-0.07,NSGA-II,1.200 ± 0.400,0.000 ± 0.000
0.75,0.37,VMPACS,1.000 ± 0.000,0.000 ± 0.000
0.75,0.37,NSGA-II,1.300 ± 0.458,0.000 ± 0.000
1.0,0.75,VMPACS,1.000 ± 0.000,0.000 ± 0.000
1.0,0.75,NSGA-II,1.000 ± 0.000,0.000 ± 0.000
